player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm,age_num,pos_group,cluster_kmeans,cluster_dbscan,pca_x,pca_y,cluster_label
Alan Aguerre,ar ARG,GK,C. Córdoba–SdE,35-299,1990.0,16,16,1374,15.266666666666667,0.0,0.0655,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,95.4,86.0,15,0,,0,1.0,10.0,19.0,-9.0,-0.59,0.77,0,0.0,0.1965,0,0.0,0.0,0.0,,,0,19.0,1.24,74.0,57.0,75.7,4.0,4.0,8.0,6.0,37.5,1.0,1.0,0.0,50.0,175000.0,35.0,Argentina,35.0,Portero,0,0,1.3033,1.617,Portero clasico
Ignacio Arce,ar ARG,GK,Dep. Riestra,34-071,1992.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.06,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,0.69,5.0,12.0,-7.0,-0.44,,0,0.0625,0.3125,0,0.0625,0.0625,0.0,,,0,12.0,0.75,64.0,55.0,85.9,1.0,8.0,7.0,6.0,37.5,3.0,0.0,0.0,0.0,800000.0,34.0,Argentina,34.0,Portero,0,1,1.9481,-0.0726,Portero clasico
Gabriel Arias,cl CHI,GK,Newell's,38-278,1987.0,7,7,612,6.8,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,42.5,87.0,6,0,,0,0.29,5.0,13.0,-8.0,-1.18,-0.74,0,0.0,0.0,0,0.0,0.0,0.1471,,,0,13.0,1.91,32.0,20.0,62.5,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0,38.0,Chile,38.0,Portero,1,2,-3.5116,0.8761,Portero de salida
Renzo Bacchia,uy URU,GK,Estudiantes–RC,27-146,1999.0,5,5,450,5.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,31.3,90.0,5,0,,8,0.2,1.0,9.0,-8.0,-1.6,-0.6,0,0.2,0.0,0,0.0,0.0,0.0,,,0,9.0,1.8,21.0,13.0,61.9,0.0,1.0,4.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,,,27.0,Portero,1,2,-3.097,0.1021,Portero de salida
Williams Barlasina,ar ARG,GK,Newell's,27-354,1998.0,5,4,378,4.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,26.3,90.0,4,1,18.0,11,0.8,2.0,9.0,-7.0,-1.67,-1.24,0,0.0,0.2381,0,0.0,0.0,0.0,,,0,9.0,2.14,25.0,17.0,68.0,1.0,1.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,150000.0,27.0,Argentina,27.0,Portero,1,2,-3.013,0.0231,Portero de salida
Santiago Beltrán,ar ARG,GK,River Plate,21-257,2004.0,16,15,1395,15.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,96.9,90.0,15,1,45.0,0,1.8,22.0,11.0,11.0,0.71,2.71,0,0.0,0.0645,0,0.0,0.0,0.0,,,0,11.0,0.71,46.0,37.0,80.4,9.0,2.0,4.0,7.0,46.7,2.0,0.0,0.0,0.0,9000000.0,21.0,Argentina,21.0,Portero,0,1,1.8078,-0.3723,Portero clasico
Nicolás Bolcato,ar ARG,GK,Ind. Rivadavia,22-043,2004.0,15,14,1337,14.855555555555556,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,92.8,90.0,14,1,77.0,1,2.06,28.0,13.0,15.0,1.01,1.88,0,0.0,0.2693,0,0.0,0.0673,0.0,,,0,13.0,0.88,47.0,35.0,74.5,9.0,3.0,2.0,4.0,28.6,1.0,0.0,0.0,0.0,2200000.0,22.0,Argentina,22.0,Portero,0,1,0.3257,0.1607,Portero clasico
Matías Borgogno,ar ARG,GK,Platense,27-301,1998.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.0,10.0,15.0,-5.0,-0.31,,0,0.0,0.375,0,0.0,0.0,0.0,,,0,15.0,0.94,64.0,50.0,78.1,3.0,7.0,6.0,6.0,37.5,1.0,0.0,0.0,0.0,2800000.0,27.0,Argentina,27.0,Portero,0,1,1.3984,0.5045,Portero clasico
Leandro Brey,ar ARG,GK,Boca Juniors,23-270,2002.0,5,4,369,4.1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,25.6,90.0,4,1,9.0,11,2.5,8.0,1.0,7.0,1.71,1.2,0,0.0,0.0,0,0.0,0.0,0.0,,,0,1.0,0.24,10.0,9.0,90.0,4.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,,1500000.0,23.0,Argentina,23.0,Portero,2,-1,1.8698,-4.3485,Portero mixto
Jorge Broun,ar ARG,GK,Rosario Central,40-023,1986.0,4,4,360,4.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,25.0,90.0,4,0,,12,1.25,4.0,5.0,-1.0,-0.25,-0.67,0,0.0,0.25,0,0.0,0.0,0.0,,,0,5.0,1.25,17.0,13.0,76.5,1.0,2.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,100000.0,40.0,Argentina,40.0,Portero,1,3,-1.9114,-1.4287,Portero de salida
