player,team,position,age_num,goals,assists,minutes,market_value_eur,pos_group,vaep_per90,offensive_per90,defensive_per90,vaep_rank
Matías Abaldo,Independiente,"MF,FW",22.0,5,1,1262,5000000.0,Mediocampista,3.4898,3.2179,0.438,357
Carlos Abeldano,Atlé Tucumán,FW,21.0,1,0,575,,Delantero,0.9802,0.7659,0.7244,676
Ramón Ábila,Estudiantes–RC,FW,36.0,0,0,196,,Delantero,-0.2631,-0.1607,0.3125,708
Ignacio Abraham,Banfield,"DF,MF",28.0,0,4,1440,1500000.0,Defensor,4.1928,1.0299,1.42,235
Gonzalo Abrego,CA San Lorenzo,MF,26.0,0,0,510,1500000.0,Mediocampista,1.3391,0.0094,0.7158,658
Gustavo Abregú,Instituto,MF,28.0,0,1,1073,600000.0,Mediocampista,2.2057,-0.5558,1.8277,585
Jonás Acevedo,Instituto,MF,29.0,0,0,167,450000.0,Mediocampista,1.7263,-0.038,1.0775,631
Marcos Acuña,River Plate,DF,34.0,0,1,837,1000000.0,Defensor,5.1708,0.685,2.098,105
Valentino Acuña,Newell's,MF,20.0,0,0,295,1500000.0,Mediocampista,2.0174,0.006,1.2969,601
Tomás Adoryán,Banfield,MF,24.0,0,1,541,350000.0,Mediocampista,3.4628,1.758,1.3765,362
Alan Aguerre,C. Córdoba–SdE,GK,35.0,0,1,1374,175000.0,Portero,4.4833,-0.7517,1.16,196
Mateo Aguiar,Defensa,MF,19.0,0,0,157,225000.0,Mediocampista,3.1344,0.5625,1.8837,438
Pablo Aguiar,Gimnasia–LP,MF,20.0,0,0,148,,Mediocampista,0.5881,-0.7991,0.6073,691
Brian Aguirre,Estudiantes–LP,MF,23.0,1,2,433,3500000.0,Mediocampista,4.4351,4.1097,0.6574,199
Misael Aguirre,Unión,FW,18.0,0,0,201,200000.0,Delantero,0.2132,0.3966,0.1432,700
Gabriel Alanís,Estudiantes–RC,"MF,FW",32.0,1,0,910,,Mediocampista,2.5187,0.8028,1.1999,546
