player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm
Matías Abaldo,uy URU,"MF,FW",Independiente,22-076,2004.0,15,15,"1,262",14.0,5,1,6,5,0,0,1,1,0.36,0.07,0.43,0.36,0.43,26,14,53.8,1.85,1.0,0.19,0.36,84.0,87.6,84.0,5,0,,0,1.31,21.0,19.0,2.0,0.14,-0.87,0,10,7,7,42,3,3,,,0,,,,,,,,,,,,,,,5000000.0,22.0,Uruguay
Carlos Abeldano,ar ARG,FW,Atlé Tucumán,21-070,2005.0,9,6,575,6.4,1,0,1,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16,12,2,16.7,1.88,0.31,0.08,0.5,64.0,39.9,84.0,3,3,24.0,5,0.56,7.0,9.0,-2.0,-0.31,0.0,0,7,6,7,0,2,4,,,0,,,,,,,,,,,,,,,,,
Ramón Ábila,ar ARG,FW,Estudiantes–RC,36-247,1989.0,8,1,196,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,0.92,0.46,0.0,0.0,25.0,13.6,65.0,0,7,19.0,1,0.0,0.0,5.0,-5.0,-2.3,-1.28,0,0,3,11,1,0,0,,,0,,,,,,,,,,,,,,,,,
Ignacio Abraham,sy SYR,"DF,MF",Banfield,28-157,1998.0,16,16,"1,440",16.0,0,4,4,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,9,3,33.3,0.56,0.19,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.13,17.0,19.0,-2.0,-0.12,,0,7,10,0,87,9,17,,,0,,,,,,,,,,,,,,,1500000.0,28.0,Syria
Gonzalo Abrego,ar ARG,MF,CA San Lorenzo,26-162,2000.0,11,6,510,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,3,60.0,0.88,0.53,0.0,0.0,46.0,35.4,68.0,1,5,21.0,3,1.36,4.0,4.0,0.0,0.0,0.0,0,8,5,0,10,3,3,,,0,,,,,,,,,,,,,,,1500000.0,26.0,Argentina
Gustavo Abregú,ar ARG,MF,Instituto,28-349,1997.0,14,12,"1,073",11.9,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,5,0,0.0,0.42,0.0,0.0,,77.0,74.5,84.0,6,2,35.0,1,1.43,14.0,10.0,4.0,0.34,1.32,0,7,5,1,1,16,11,,,0,,,,,,,,,,,,,,,600000.0,28.0,Argentina
Jonás Acevedo,ar ARG,MF,Instituto,29-132,1997.0,7,1,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,1.08,0.0,0.0,,24.0,11.6,80.0,0,6,15.0,8,1.29,2.0,4.0,-2.0,-1.08,-1.22,0,3,3,1,6,1,2,,,0,,,,,,,,,,,,,,,450000.0,29.0,Argentina
Benjamin Acosta,ar ARG,FW,Lanús,20-130,2006.0,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,8.18,0.0,0.0,,22.0,1.5,,0,1,22.0,4,1.0,0.0,0.0,0.0,0.0,-0.19,0,1,1,0,1,0,0,,,0,,,,,,,,,,,,,,,,,
Marcos Acuña,ar ARG,DF,River Plate,34-233,1991.0,11,9,837,9.3,0,1,1,0,0,0,7,0,0.0,0.11,0.11,0.0,0.11,10,2,20.0,1.08,0.22,0.0,0.0,76.0,58.1,86.0,6,2,33.0,1,1.6,12.0,8.0,4.0,0.43,-0.47,0,8,11,0,45,10,15,,,0,,,,,,,,,,,,,,,1000000.0,34.0,Argentina
Valentino Acuña,ar ARG,MF,Newell's,20-142,2006.0,5,4,295,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,59.0,20.5,71.0,2,1,13.0,6,0.2,1.0,6.0,-5.0,-1.53,-0.98,0,4,6,0,15,5,1,,,0,,,,,,,,,,,,,,,1500000.0,20.0,Argentina
